Index,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020
,Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
00:00:00,Descanso,Descanso,Dev,Dormi,Descanso,Descanso,Dormi
00:30:00,Descanso,Descanso,Dev,Dormi,Dormi,Dormi,Dormi
01:00:00,Descanso,Dormi,Dev,Dormi,Dormi,Dormi,Dormi
01:30:00,Descanso,Dormi,Descanso,Dormi,Dormi,Dormi,Dormi
02:00:00,Descanso,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
02:30:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
03:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
03:30:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
04:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
04:30:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
05:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
05:30:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
06:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
06:30:00,Dormi,Dev,Dormi,TCC,Dormi,Dev,Dev
07:00:00,Dormi,Dev,Dormi,TCC,Dormi,Dev,Dev
07:30:00,Dormi,Dev,Dormi,Outros,Dormi,Dev,Dev
08:00:00,Dormi,Trabalho,Dormi,Trabalho,Trabalho,Trabalho,Dev
08:30:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Dev
09:00:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
09:30:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
10:00:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
10:30:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
11:00:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
11:30:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
12:00:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
12:30:00,Descanso,Trabalho,Trabalho,Trabalho,Descanso,Descanso,Trabalho
13:00:00,Descanso,Descanso,Trabalho,Descanso,Descanso,Descanso,Descanso
13:30:00,Descanso,Descanso,Descanso,Descanso,Trabalho,Trabalho,Descanso
14:00:00,Descanso,Trabalho,Descanso,Trabalho,Trabalho,Trabalho,Descanso
14:30:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
15:00:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
15:30:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
16:00:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Dormi
16:30:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Dormi
17:00:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Dormi
17:30:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
18:00:00,TCC,Descanso,Descanso,Descanso,Descanso,Trabalho,Descanso
18:30:00,TCC,Descanso,Descanso,Descanso,Descanso,Trabalho,Descanso
19:00:00,TCC,Dormi,Descanso,Descanso,TCC,Descanso,Descanso
19:30:00,Dev,Dormi,Descanso,Descanso,TCC,Descanso,Descanso
20:00:00,Dev,Dormi,Descanso,Descanso,TCC,Descanso,Descanso
20:30:00,Descanso,Dormi,Descanso,Descanso,TCC,Descanso,Descanso
21:00:00,Descanso,Dormi,Descanso,Descanso,Descanso,Descanso,Descanso
21:30:00,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso
22:00:00,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso
22:30:00,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso
23:00:00,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso
23:30:00,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso
