Index,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020
,Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
00:00:00,Descanso,Descanso,Dormi,Faculdade,Dev,Dev,Dormi
00:30:00,Descanso,Dev,Dormi,Faculdade,Dev,Dev,Dormi
01:00:00,Descanso,Dev,Dormi,Faculdade,Descanso,Dev,Dormi
01:30:00,Faculdade,Dev,Dormi,Dev,Descanso,Descanso,Dormi
02:00:00,Faculdade,Dev,Dormi,Dev,Dormi,Descanso,Dormi
02:30:00,Faculdade,Descanso,Dormi,Dev,Dormi,Descanso,Dormi
03:00:00,Faculdade,Dormi,Dormi,Descanso,Dormi,Dormi,Dormi
03:30:00,Faculdade,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
04:00:00,Descanso,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
04:30:00,Descanso,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
05:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
05:30:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
06:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
06:30:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
07:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
07:30:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
08:00:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
08:30:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
09:00:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
09:30:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
10:00:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
10:30:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
11:00:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
11:30:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Outros
12:00:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Outros
12:30:00,Dormi,Descanso,Descanso,Descanso,Descanso,Descanso,Outros
13:00:00,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso,Outros
13:30:00,Descanso,Descanso,Outro,Descanso,Descanso,Trabalho,Outros
14:00:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Outros
14:30:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
15:00:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
15:30:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
16:00:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
16:30:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
17:00:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Dormi
17:30:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Dormi
18:00:00,Descanso,Outros,Descanso,Descanso,Descanso,Descanso,Dormi
18:30:00,Descanso,Outros,Dormi,Descanso,Descanso,Descanso,Dormi
19:00:00,Descanso,Outros,Dormi,Descanso,Descanso,Descanso,Dormi
19:30:00,Descanso,Outros,Dormi,Descanso,Dormi,Descanso,Descanso
20:00:00,Faculdade,Descanso,Dormi,Descanso,Dormi,Descanso,Descanso
20:30:00,Faculdade,Descanso,Dormi,Descanso,Dormi,Descanso,Descanso
21:00:00,Faculdade,Descanso,Descanso,Descanso,Dormi,Descanso,Descanso
21:30:00,Faculdade,Descanso,Faculdade,Descanso,Descanso,Descanso,Descanso
22:00:00,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso
22:30:00,Descanso,Dormi,Descanso,Descanso,Descanso,Descanso,Descanso
23:00:00,Descanso,Dormi,Descanso,Dev,Descanso,Descanso,Descanso
23:30:00,Descanso,Dormi,Descanso,Dev,Descanso,Dormi,Descanso
