Index,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020
,Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
00:00:00,Dev,Descanso,Dormi,Dormi,Dormi,Dormi,Descanso
00:30:00,Dev,Descanso,Dormi,Dormi,Dormi,Dormi,Descanso
01:00:00,Dev,Dormi,Dormi,Dormi,Dormi,Dormi,Descanso
01:30:00,Dev,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
02:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
02:30:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
03:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
03:30:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
04:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
04:30:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
05:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
05:30:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
06:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
06:30:00,Dormi,Dev,Faculdade,Dormi,Faculdade,TCC,Dormi
07:00:00,Dormi,Dev,Faculdade,Dormi,Faculdade,TCC,Dormi
07:30:00,Dormi,Dev,Trabalho,Dormi,Faculdade,TCC,Dormi
08:00:00,Dormi,Dev,Trabalho,Trabalho,Faculdade,Trabalho,Trabalho
08:30:00,Dormi,Trabalho,Trabalho,Trabalho,Descanso,Trabalho,Trabalho
09:00:00,Dormi,Trabalho,Trabalho,Trabalho,Descanso,Trabalho,Trabalho
09:30:00,Dormi,Trabalho,Trabalho,Trabalho,Descanso,Trabalho,Trabalho
10:00:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
10:30:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
11:00:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
11:30:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
12:00:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho
12:30:00,Descanso,Trabalho,Trabalho,Descanso,Trabalho,Trabalho,Trabalho
13:00:00,Descanso,Trabalho,Descanso,Descanso,Trabalho,Descanso,Trabalho
13:30:00,Descanso,Descanso,Descanso,Trabalho,Descanso,Descanso,Descanso
14:00:00,Dormi,Descanso,Trabalho,Trabalho,Descanso,Trabalho,Descanso
14:30:00,Dormi,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
15:00:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
15:30:00,TCC,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
16:00:00,TCC,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
16:30:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
17:00:00,Descanso,Trabalho,Trabalho,Trabalho,Trabalho,Trabalho,Descanso
17:30:00,Descanso,Descanso,Trabalho,TCC,Trabalho,Trabalho,Descanso
18:00:00,Descanso,Descanso,Trabalho,TCC,Trabalho,Trabalho,Descanso
18:30:00,Descanso,Descanso,Descanso,Descanso,Descanso,Trabalho,Descanso
19:00:00,Descanso,Descanso,Descanso,Faculdade,Faculdade,Descanso,Descanso
19:30:00,Descanso,Descanso,Descanso,Faculdade,Faculdade,Descanso,Descanso
20:00:00,Descanso,Descanso,Descanso,Faculdade,Faculdade,Descanso,Descanso
20:30:00,Descanso,Descanso,Descanso,Faculdade,Descanso,Dormi,Descanso
21:00:00,Descanso,Descanso,Descanso,Faculdade,Descanso,Dormi,Descanso
21:30:00,Descanso,Descanso,Descanso,Descanso,Descanso,Dormi,Descanso
22:00:00,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso
22:30:00,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso
23:00:00,Descanso,Descanso,Descanso,Descanso,Dormi,Descanso,TCC
23:30:00,Descanso,Dormi,Dormi,Descanso,Dormi,Descanso,TCC
