Index,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020
,Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
00:00:00,null,null,null,TCC,Descanso,TCC,Descanso
00:30:00,null,null,null,TCC,Dormi,TCC,Dormi
01:00:00,null,null,null,TCC,Dormi,TCC,Dormi
01:30:00,null,null,null,Dormi,Dormi,Dormi,Dormi
02:00:00,null,null,null,Dormi,Dormi,Dormi,Dormi
02:30:00,null,null,null,Dormi,Dormi,Dormi,Dormi
03:00:00,null,null,null,Dormi,Dormi,Dormi,Dormi
03:30:00,null,null,null,Dormi,Dormi,Dormi,Dormi
04:00:00,null,null,null,Dormi,Dormi,Dormi,Dormi
04:30:00,null,null,null,Dormi,Dormi,Dormi,Dormi
05:00:00,null,null,null,Dormi,Dormi,Dormi,Dormi
05:30:00,null,null,null,Dormi,Dormi,Dormi,Dormi
06:00:00,null,null,null,Dormi,Dormi,Dormi,Dormi
06:30:00,null,null,null,Dormi,Dormi,Dormi,Dev
07:00:00,null,null,null,Dormi,Dormi,Dormi,Dev
07:30:00,null,null,null,Dormi,Dormi,Dormi,Dev
08:00:00,null,null,null,Trabalho,Trabalho,Trabalho,Trabalho
08:30:00,null,null,null,Trabalho,Trabalho,Trabalho,Trabalho
09:00:00,null,null,null,Trabalho,Trabalho,Trabalho,Trabalho
09:30:00,null,null,null,Trabalho,Trabalho,Trabalho,Trabalho
10:00:00,null,null,null,Trabalho,Trabalho,Trabalho,Trabalho
10:30:00,null,null,null,Trabalho,Trabalho,Trabalho,Trabalho
11:00:00,null,null,null,Trabalho,Trabalho,Trabalho,Trabalho
11:30:00,null,null,null,Trabalho,Trabalho,Trabalho,Trabalho
12:00:00,null,null,null,Trabalho,Trabalho,Descanso,Descanso
12:30:00,null,null,null,Trabalho,Descanso,Descanso,Descanso
13:00:00,null,null,null,Descanso,Descanso,Descanso,Descanso
13:30:00,null,null,null,Descanso,Descanso,Descanso,Descanso
14:00:00,null,null,null,Trabalho,Trabalho,Dormi,Descanso
14:30:00,null,null,null,Trabalho,Trabalho,Dormi,Descanso
15:00:00,null,null,null,Trabalho,Trabalho,Dormi,Descanso
15:30:00,null,null,null,Trabalho,Trabalho,Dormi,Descanso
16:00:00,null,null,null,Trabalho,Trabalho,Trabalho,Descanso
16:30:00,null,null,null,Trabalho,Trabalho,Trabalho,Descanso
17:00:00,null,null,null,Trabalho,Trabalho,Trabalho,Dev
17:30:00,null,null,null,Dormi,Trabalho,Trabalho,Descanso
18:00:00,null,null,null,Dormi,Descanso,Descanso,Descanso
18:30:00,null,null,null,Dormi,Faculdade,Descanso,Descanso
19:00:00,null,null,null,Faculdade,Faculdade,Descanso,Descanso
19:30:00,null,null,null,Faculdade,Faculdade,Descanso,Dev
20:00:00,null,null,null,Faculdade,Dev,Descanso,Descanso
20:30:00,null,null,null,Faculdade,Dev,Descanso,Descanso
21:00:00,null,null,null,Descanso,Descanso,Descanso,Descanso
21:30:00,null,null,null,Descanso,Descanso,Descanso,Descanso
22:00:00,null,null,null,Descanso,Trabalho,Descanso,Descanso
22:30:00,null,null,null,Descanso,Trabalho,Descanso,Descanso
23:00:00,null,null,null,Descanso,Trabalho,Descanso,Descanso
23:30:00,null,null,null,Descanso,Trabalho,Descanso,Dev
