Index,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020
,Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
00:00:00,Descanso,Descanso,Descanso,Dormi,Descanso,Dormi,Dormi
00:30:00,Descanso,Descanso,Descanso,Dormi,Descanso,Dormi,Dormi
01:00:00,Descanso,Descanso,Descanso,Dormi,Descanso,Dormi,Dormi
01:30:00,Descanso,Dormi,Dormi,Dormi,Descanso,Dormi,Dormi
02:00:00,Descanso,Dormi,Dormi,Dormi,Descanso,Dormi,Dormi
02:30:00,Descanso,Dormi,Dormi,Dormi,Descanso,Dormi,Dormi
03:00:00,Descanso,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
03:30:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
04:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
04:30:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
05:00:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
05:30:00,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi,Dormi
06:00:00,Dormi,Trabalho,Dormi,Dormi,Dormi,Dormi,Dormi
06:30:00,Dormi,Trabalho,Dormi,Dormi,Dormi,Dormi,Dormi
07:00:00,Dormi,Trabalho,Faculdade,Dormi,Dormi,Dormi,Dormi
07:30:00,Dormi,Trabalho,Faculdade,Outros,Dormi,Dormi,Dormi
08:00:00,Dormi,Trabalho,Trabalho,Outros,Dormi,Trabalho,Trabalho
08:30:00,Dormi,Trabalho,Trabalho,Outros,Dormi,Trabalho,Trabalho
09:00:00,Dormi,Trabalho,Trabalho,Outros,Dormi,Trabalho,Trabalho
09:30:00,Trabalho,Trabalho,Trabalho,Trabalho,Dormi,Trabalho,Trabalho
10:00:00,Trabalho,Trabalho,Trabalho,Trabalho,Dormi,Trabalho,Trabalho
10:30:00,Trabalho,Trabalho,Trabalho,Trabalho,Descanso,Trabalho,Trabalho
11:00:00,Trabalho,Trabalho,Trabalho,Trabalho,Descanso,Trabalho,Trabalho
11:30:00,Trabalho,Trabalho,Trabalho,Trabalho,Descanso,Trabalho,Descanso
12:00:00,Trabalho,Trabalho,Trabalho,Trabalho,Descanso,Trabalho,Descanso
12:30:00,Trabalho,Trabalho,Descanso,Descanso,Descanso,Descanso,Descanso
13:00:00,Trabalho,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso
13:30:00,Trabalho,Descanso,Trabalho,Trabalho,Descanso,Descanso,Descanso
14:00:00,Descanso,Dormi,Trabalho,Trabalho,Descanso,Trabalho,Descanso
14:30:00,Descanso,Trabalho,Trabalho,Trabalho,Faculdade,Trabalho,Descanso
15:00:00,Descanso,Trabalho,Trabalho,Trabalho,Faculdade,Trabalho,Dormi
15:30:00,Descanso,Trabalho,Trabalho,Trabalho,Faculdade,Trabalho,Dormi
16:00:00,Descanso,Trabalho,Trabalho,Trabalho,Faculdade,Trabalho,Dormi
16:30:00,TCC,Trabalho,Trabalho,Trabalho,Dev,Trabalho,Dormi
17:00:00,TCC,Descanso,Trabalho,Trabalho,Descanso,Trabalho,Dormi
17:30:00,Faculdade,Descanso,Trabalho,Outros,Descanso,Trabalho,Dormi
18:00:00,Faculdade,Dormi,Descanso,Outros,Descanso,Descanso,Descanso
18:30:00,Dormi,Dormi,Descanso,Descanso,Descanso,Descanso,Faculdade
19:00:00,Dormi,Dormi,Dormi,Descanso,Descanso,Descanso,Faculdade
19:30:00,Dormi,Dormi,Dormi,Descanso,Dev,Descanso,Faculdade
20:00:00,Dormi,Dormi,Dormi,Descanso,Dev,Descanso,Faculdade
20:30:00,Descanso,Dormi,Descanso,Faculdade,Dev,Descanso,Faculdade
21:00:00,Descanso,Descanso,Descanso,Faculdade,Descanso,Descanso,Faculdade
21:30:00,Descanso,Descanso,Descanso,Faculdade,Descanso,Descanso,Descanso
22:00:00,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso
22:30:00,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso,Descanso
23:00:00,Descanso,Descanso,Faculdade,Descanso,Descanso,Descanso,Descanso
23:30:00,Descanso,Descanso,Faculdade,Descanso,Descanso,Descanso,Descanso
